,ethnicity_ID,wikidata_id,ethnicity_label,corresponding_ethnicity,count
122,/m/04y8_bm,Q6935055,multiracial American,https://en.wikipedia.org/wiki/Multiracial_Americans,7
123,/m/0ffhz3,Q1849258,Albanian Americans,https://en.wikipedia.org/wiki/Albanian_Americans,7
124,/m/0ffj5g,Q324216,Austrian Americans,https://en.wikipedia.org/wiki/Austrian_Americans,4
125,/m/06j2v,Q8060,Romani people,https://en.wikipedia.org/wiki/Romani_people,12
126,/m/03cjjy0,Q5602103,Greeks in South Africa,https://en.wikipedia.org/wiki/Greeks_in_South_Africa,1
127,/m/06v41q,Q1369944,French Americans,https://en.wikipedia.org/wiki/French_Americans,20
128,/m/032j30,Q1283606,Native Hawaiians,https://en.wikipedia.org/wiki/Native_Hawaiians,5
129,/m/01n94b,Q171336,Slovaks,https://en.wikipedia.org/wiki/Slovaks,5
130,/m/0d2by,Q1146100,Chinese Americans,https://en.wikipedia.org/wiki/Chinese_Americans,44
131,/m/038723,Q1150312,Greek Americans,https://en.wikipedia.org/wiki/Greek_Americans,22
132,/m/0g5y6,Q133032,Hungarians,https://en.wikipedia.org/wiki/Hungarians,28
133,/m/0bymc,Q200263,Parsi,https://en.wikipedia.org/wiki/Parsis,10
134,/m/0d8qh0,Q4256383,Indonesian Americans,https://en.wikipedia.org/wiki/Indonesian_Americans,3
135,/m/0c2hxm,Q5147921,Colombian Americans,https://en.wikipedia.org/wiki/Colombian_Americans,3
136,/m/04znbg,Q16149615,African-American Jews,https://en.wikipedia.org/wiki/African-American_Jews,1
137,/m/027n1m6,Q7541523,Slovak Americans,https://en.wikipedia.org/wiki/Slovak_Americans,5
138,/m/02czfr,Q365539,Black Canadians,https://en.wikipedia.org/wiki/Black_Canadians,1
139,/m/0g48m4,Q6510842,Lebanese Americans,https://en.wikipedia.org/wiki/Lebanese_Americans,7
140,/m/01swvz,Q388101,Anglo-Celtic Australians,https://en.wikipedia.org/wiki/Anglo-Celtic_Australians,2
141,/m/0462jl6,Q7144694,Pathani,https://en.wikipedia.org/wiki/Pathani,1
142,/m/025_0f0,Q124216,Swiss,https://en.wikipedia.org/wiki/Swiss_people,5
143,/m/0j6x8,Q170355,Indigenous Australians,https://en.wikipedia.org/wiki/Indigenous_Australians,17
144,/m/05ysft4,,,,1
145,/m/01ylpf,Q49540,Latvians,https://en.wikipedia.org/wiki/Latvians,2
146,/m/0bnzjx,Q16242047,Criollo people,https://en.wikipedia.org/wiki/Criollo_people,1
147,/m/04f581,Q1193808,Norwegian Americans,https://en.wikipedia.org/wiki/Norwegian_Americans,12
148,/m/0ch3pqf,Q1377716,Belgians,https://en.wikipedia.org/wiki/Belgians,1
