Normalized_Title,year,title,numVotes,Rating,ratingBechtest,id,imdbid,Wiki_ID,Freebase_ID,title,release_date,BoxOfficeRevenue,Runtime,Languages,Countries,Genres
12datesofchristmas,2011,12 Dates of Christmas,8407,6.3,3,9825,1846442,34059175,/m/0gyhyj4,12 Dates of Christmas,2011-12-11,,,['English Language'],['United States of America'],"['Romance Film', 'Drama', 'Comedy film', 'Comedy']"
13goingon30,2004,13 Going on 30,224488,6.3,3,3656,0337563,607444,/m/02vzpb,13 Going on 30,2004-04-14,96455697.0,97.0,"['Portuguese Language', 'English Language']",['United States of America'],"['Romantic comedy', 'Fantasy', 'Comedy', 'Coming of age', 'Romance Film', 'Fantasy Comedy']"
1408,2007,1408,299863,6.8,3,3206,0450385,4639222,/m/0cdz99,1408,2007-06-12,131998242.0,104.0,['English Language'],['United States of America'],"['Thriller', 'Supernatural', 'Horror', 'Film adaptation']"
16wishes,2010,16 Wishes,16357,5.4,3,3842,1646876,26248852,/m/0b757qd,16 Wishes,2010-06-25,,,['English Language'],"['United States of America', 'Canada']","['Romance Film', 'Fantasy', 'Family Film', 'Teen']"
1776,1972,1776,10636,7.599999999999999,1,2986,0068156,11600033,/m/047vmb4,1776,1972,,,['English Language'],['United States of America'],"['Musical', 'Period piece', 'Musical comedy']"
17again,2009,17 Again,220398,6.400000000000001,3,315,0974661,14545761,/m/03d79mp,17 Again,2009-03-11,136267476.0,105.0,['English Language'],['United States of America'],"['Romantic comedy', 'Coming of age', 'Fantasy', 'Comedy', 'Drama', 'Romance Film', 'Fantasy Comedy', 'Teen']"
2001:aspaceodyssey,1968,2001: A Space Odyssey,734692,8.3,0,919,0062622,23941708,/m/08ct6,2001: A Space Odyssey,1968-04-06,190000000.0,156.0,"['English Language', 'Russian Language']","['United States of America', 'United Kingdom']","['Thriller', 'Science Fiction', 'Adventure', 'Roadshow theatrical release', 'Surrealism', 'Mystery', 'Airplanes and airports']"
200cigarettes,1999,200 Cigarettes,16507,6.0,3,6798,0137338,677920,/m/03258s,200 Cigarettes,1999,6852450.0,101.0,['English Language'],['United States of America'],"['Romantic comedy', 'Ensemble Film', 'Indie', 'Period piece', 'Drama', 'Comedy', 'Romantic drama', 'Romance Film']"
2012,2009,2012,404442,5.79960365145064,1,1695,1190080,18436536,/m/047vnkj,2012,2009-11-11,769679473.0,158.0,"['Tibetan languages', 'Italian Language', 'Russian Language', 'French Language', 'Standard Mandarin', 'English Language', 'Latin Language', 'Portuguese Language', 'Hindi Language']",['United States of America'],"['Thriller', 'Science Fiction', 'Adventure', 'Doomsday film', 'Action/Adventure', 'Apocalyptic and post-apocalyptic fiction', 'Drama', 'Dystopia', 'Disaster', 'Action', 'Natural disaster']"
2046,2004,2046,62658,7.4,3,3234,0212712,213462,/m/01f8f7,2046,2004-05-20,19470239.0,129.0,"['Japanese Language', 'Standard Mandarin', 'Cantonese']","['France', 'Italy', 'Hong Kong', 'China', 'Germany']","['Science Fiction', 'Fantasy', 'Drama', 'Romantic drama', 'Romance Film', 'Chinese Movies']"
21,2008,21,269753,6.8,3,47,0478087,10433895,/m/02qczf7,21,2008-03-07,157927340.0,122.0,['English Language'],['United States of America'],"['Action/Adventure', 'Crime Fiction', 'Drama', 'Film adaptation']"
21grams,2003,21 Grams,248020,7.6,3,4845,0315733,468326,/m/02d478,21 Grams,2003-09-05,60427839.0,124.0,['English Language'],['United States of America'],"['Thriller', 'Ensemble Film', 'Tragedy', 'Drama', 'Crime Fiction']"
21jumpstreet,2012,21 Jump Street,610830,7.2,2,3380,1232829,33509716,/m/0bq8tmw,21 Jump Street,2012-03-12,201585328.0,109.0,['English Language'],['United States of America'],"['Crime Fiction', 'Comedy film', 'Action']"
24hourpartypeople,2002,24 Hour Party People,40265,7.3,1,2450,0274309,360138,/m/01_bnz,24 Hour Party People,2002-04-05,2781211.0,116.0,['English Language'],['United Kingdom'],"['Punk rock', 'Biography', 'Comedy-drama', 'Period piece', 'Drama', 'Comedy', 'Biopic [feature]', 'Biographical film']"
25thhour,2002,25th Hour,186174,7.6,2,5080,0307901,695700,/m/033hc9,25th Hour,2002-12-16,23928503.0,108.0,['English Language'],['United States of America'],"['Crime Fiction', 'Drama', 'Crime Drama']"
27dresses,2008,27 Dresses,177965,6.1,3,212,0988595,13439139,/m/03c5cgj,27 Dresses,2008-01-09,160259319.0,110.0,['English Language'],['United States of America'],"['Romantic comedy', 'Romance Film', 'Comedy']"
28days,2000,28 Days,55296,6.1,3,954,0191754,2470904,/m/07gb81,28 Days,2000-02-08,62198945.0,103.0,['English Language'],['United States of America'],"['Romantic comedy', 'Drama', 'Comedy-drama', 'Comedy', 'Addiction Drama']"
28weekslater,2007,28 Weeks Later,299729,6.9,3,2131,0463854,5971538,/m/0fhd04,28 Weeks Later,2007-04-26,64238440.0,100.0,['English Language'],"['Spain', 'United Kingdom']","['Thriller', 'Science Fiction', 'Horror', 'Doomsday film', 'Sci-Fi Horror', 'Plague', 'Zombie Film']"
2coelhos,2012,2 Coelhos,5539,7.3,1,6443,1753722,34466855,/m/0h_ch82,2 Coelhos,2012-01-20,,108.0,['Portuguese Language'],['Brazil'],['Action']
2daysinnewyork,2012,2 Days in New York,15095,6.0,3,4101,1602472,35641836,/m/0jky4lb,2 Days in New York,2012-01-23,,96.0,"['French Language', 'Italian Language', 'English Language']","['France', 'United States of America', 'Germany', 'Belgium']","['Romance Film', 'Comedy film']"
2daysinparis,2007,2 Days in Paris,32207,6.7,3,5291,0841044,13048086,/m/02z4kdz,2 Days in Paris,2007-08-10,19705002.0,101.0,"['French Language', 'English Language']","['France', 'Germany']","['Romantic comedy', 'Indie', 'World cinema', 'Drama', 'Comedy', 'Romance Film']"
2daysinthevalley,1996,2 Days in the Valley,22032,6.5,3,8638,0115438,1526194,/m/05828j,2 Days in the Valley,1996-09-27,11132900.0,105.0,"['Vietnamese Language', 'English Language', 'Norwegian Language']",['United States of America'],"['Crime Fiction', 'Ensemble Film', 'Crime Comedy', 'Indie', 'Comedy', 'Black comedy']"
2fast2furious,2003,2 Fast 2 Furious,303451,5.9,1,4820,0322259,407288,/m/024lff,2 Fast 2 Furious,2003-06-03,236350661.0,101.0,"['English Language', 'Spanish Language']","['United States of America', 'Germany']","['Thriller', 'Crime Fiction', 'Action/Adventure', 'Crime Thriller', 'Action Thrillers', 'Action', 'Sports']"
300,2006,300,876976,7.6,0,1271,0416449,2465797,/m/07f_t4,300,2006-12-09,,116.0,['English Language'],['United States of America'],"['Historical fiction', 'Adventure', 'Superhero movie', 'Costume drama', 'Film adaptation', 'Epic', 'Action/Adventure', 'Fantasy', 'War film', 'Historical Epic', 'Action']"
30daysofnight,2007,30 Days of Night,192635,6.6,2,2130,0389722,6941760,/m/0gy30w,30 Days of Night,2007-10-16,102254137.0,113.0,['English Language'],['United States of America'],"['Thriller', 'Horror', 'Creature Film']"
30daysofnight:darkdays,2010,30 Days of Night: Dark Days,14512,4.3,3,5876,1320304,24746257,/m/0ch5gpb,30 Days of Night: Dark Days,2010,,92.0,[],['United States of America'],"['Cult', 'Horror']"
30minutesorless,2011,30 Minutes or Less,107420,6.1,1,2618,1622547,28370864,/m/0crfcdl,30 Minutes or Less,2011-08-12,40000000.0,84.0,"['German Language', 'English Language', 'Spanish Language']","['United States of America', 'Canada', 'Germany']","['Action/Adventure', 'Crime Fiction', 'Action', 'Comedy', 'Adventure']"
3:10toyuma,2007,3:10 to Yuma,337165,7.6,0,843,0381849,4270540,/m/0btbyn,3:10 to Yuma,2007-08-21,70016220.0,122.0,"['Chinese language', 'English Language']",['United States of America'],"['Crime Fiction', 'Thriller', 'Action/Adventure', 'Western', 'Drama', 'Suspense', 'Action']"
3women,1977,3 Women,17976,7.700000000000001,3,2524,0075612,2798805,/m/083d29,3 Women,1977-04-03,,124.0,['English Language'],['United States of America'],"['Drama', 'Indie', 'New Hollywood']"
4.3.2.1,2010,4.3.2.1,11089,5.8,3,2643,1514041,24913134,/m/09gj5bl,4.3.2.1,2010-06-02,,117.0,['English Language'],['United Kingdom'],"['Thriller', 'Heist', 'Crime Thriller']"
42,2013,42,104328,7.5,2,4054,0453562,36239136,/m/0k2jpkj,42,2013-04-12,,,['English Language'],['United States of America'],"['Sports', 'Biographical film', 'Drama']"
42ndstreet,1933,42nd Street,13231,7.3,3,4335,0024034,840058,/m/03fzcv,42nd Street,1933,2250000.0,89.0,['English Language'],['United States of America'],"['Backstage Musical', 'Musical', 'Pre-Code', 'Black-and-white', 'Musical comedy']"
44inchchest,2009,44 Inch Chest,7193,5.8,1,1520,0914837,18986931,/m/04jkjnv,44 Inch Chest,2009-10-08,247553.0,95.0,['English Language'],['United Kingdom'],"['Thriller', 'Crime Fiction', 'Gangster Film', 'Crime Drama', 'Comedy-drama', 'Drama', 'Black comedy', 'Crime Thriller']"
48hrs.,1982,48 Hrs.,87538,6.9,2,5355,0083511,2436406,/m/07cwzh,48 Hrs.,1982-12-08,78868508.0,96.0,['English Language'],['United States of America'],"['Thriller', 'Crime Fiction', 'Buddy film', 'Action Comedy', 'Buddy cop', 'Action/Adventure', 'Drama', 'Comedy', 'Action']"
4:44lastdayonearth,2011,4:44 Last Day on Earth,5842,4.6,0,10223,1707391,32897944,/m/0h340wm,4:44 Last Day on Earth,2011-09-07,,82.0,['English Language'],['United States of America'],"['Fantasy', 'Science Fiction', 'Drama']"
50/50,2011,50/50,345696,7.6,2,2819,1306980,28150124,/m/0cmdwwg,50/50,2011-09-12,39187783.0,100.0,"['English Language', 'American English']",['United States of America'],"['Drama', 'Biography', 'Comedy-drama', 'Comedy']"
50firstdates,2004,50 First Dates,390086,6.799970775675107,2,1205,0343660,477099,/m/02f6g5,50 First Dates,2004-02-13,196482882.0,99.0,"['Turkish Language', 'Standard Mandarin', 'English Language', 'Hawaiian language']",['United States of America'],"['Romantic comedy', 'Romance Film', 'Comedy']"
54,1998,54,34858,5.9,1,1040,0120577,686213,/m/032yft,54,1998-08-28,16757163.0,100.0,['English Language'],['United States of America'],"['LGBT', 'Ensemble Film', 'Period piece', 'Drama']"
55daysatpeking,1963,55 Days at Peking,7577,6.7,1,1251,0056800,962502,/m/03tr5v,55 Days at Peking,1963-05-29,,150.0,['English Language'],['United States of America'],"['Adventure', 'Costume Adventure', 'Historical fiction', 'Epic', 'Period piece', 'Drama', 'War film', 'Historical Epic', 'Action', 'Political drama']"
5ivegirls,2006,5ive Girls,3732,4.4,3,6137,0494199,14472255,/m/03d4nd5,5ive Girls,2006-10-10,,96.0,['English Language'],['Canada'],"['Thriller', 'Horror', 'B-movie', 'Juvenile Delinquency Film', 'Teen']"
84charingcrossroad,1987,84 Charing Cross Road,11552,7.4,3,1902,0090570,15861151,/m/03nxb8m,84 Charing Cross Road,1987-02-13,1083486.0,99.0,['English Language'],"['United States of America', 'United Kingdom']","['Biography', 'Period piece', 'Drama', 'Film adaptation', 'Romantic drama', 'Romance Film']"
88minutes,2007,88 Minutes,78884,5.9,1,30,0411061,4059223,/m/0bf_l7,88 Minutes,2007-03-02,32573503.0,107.0,['English Language'],"['United States of America', 'Canada', 'Germany']","['Thriller', 'Crime Fiction', 'Psychological thriller', 'Mystery', 'Drama', 'Suspense', 'Crime Thriller']"
8mile,2002,8 Mile,329883,7.200010912960049,1,2545,0298203,11014779,/m/017d93,8 Mile,2002-09-08,242875078.0,118.0,['English Language'],"['United States of America', 'Germany']","['Coming of age', 'Musical', 'Drama', 'Musical Drama', 'Hip hop movies']"
8mm,1999,8MM,145475,6.600280460560233,1,146,0134273,1364770,/m/04wzkz,8mm,1999-02-19,96618699.0,125.0,['English Language'],"['United States of America', 'Germany']","['Thriller', 'Crime Thriller', 'Mystery']"
9,2009,9,150568,6.9989054779235955,0,494,0472033,12940547,/m/02z0qgs,9,2009-08-19,48428063.0,79.0,['English Language'],['United States of America'],"['Thriller', 'Science Fiction', 'Adventure', 'Computer Animation', 'Animation', 'Mystery', 'Apocalyptic and post-apocalyptic fiction', 'Fantasy', 'Action']"
99francs,2007,99 francs,20989,7.1,1,3899,0875113,19848011,/m/04q8ssx,99 Francs,2007-09-26,,99.0,['French Language'],['France'],"['Media Satire', 'Drama', 'Comedy']"
9songs,2004,9 Songs,24359,4.8,0,6748,0411705,1508787,/m/056tj0,9 Songs,2004-05-16,,67.0,['English Language'],['United Kingdom'],"['Romance Film', 'Erotic Drama', 'Drama', 'Erotica', 'Musical']"
a.p.e.x.,1994,A.P.E.X.,1217,4.4,1,5334,0109144,26408975,/m/0bbx92d,A.P.E.X.,1994,,98.0,['English Language'],['United States of America'],['Science Fiction']
abduction,2011,Abduction,84021,5.1001428214374975,1,8829,1600195,28027063,/m/0cmdl80,Abduction,2011-09-22,82087155.0,106.0,['English Language'],['United States of America'],"['Thriller', 'Mystery', 'Action', 'Drama', 'Action/Adventure']"
abeautifulmind,2001,A Beautiful Mind,1003602,8.2,1,178,0268978,3569822,/m/09m6kg,A Beautiful Mind,2001-12-13,313542341.0,140.0,['English Language'],['United States of America'],"['Biography', 'Psychological thriller', 'Period piece', 'Marriage Drama', 'Drama', 'Biopic [feature]', 'Romantic drama', 'Romance Film', 'Biographical film']"
abighandforthelittlelady,1966,A Big Hand for the Little Lady,4816,7.299999999999999,1,2696,0060165,6788669,/m/0gn_8l,A Big Hand for the Little Lady,1966,,95.0,['English Language'],['United States of America'],"['Action/Adventure', 'Western', 'Comedy Western', 'Comedy']"
aboutaboy,2002,About a Boy,193451,7.099865599040583,2,7613,0276751,4205606,/m/0bpx1k,About a Boy,2002-04-26,130549455.0,101.0,['English Language'],"['United States of America', 'France', 'United Kingdom']","['Romantic comedy', 'Slice of life story', 'Comedy-drama', 'Coming of age', 'Comedy', 'Drama', 'Romance Film']"
aboutschmidt,2002,About Schmidt,134770,7.2,1,3060,0257360,226664,/m/01h18v,About Schmidt,2002-05-22,105834556.0,120.0,['English Language'],['United States of America'],"['Indie', 'Comedy of manners', 'Comedy-drama', 'Drama', 'Comedy', 'Black comedy', 'Tragicomedy']"
abrahamlincoln:vampirehunter,2012,Abraham Lincoln: Vampire Hunter,163313,5.9,3,3478,1611224,30928961,/m/0gj8nq2,Abraham Lincoln: Vampire Hunter,2012-06-19,109436965.0,105.0,['English Language'],['United States of America'],"['Thriller', 'Action/Adventure', 'Action', 'Horror', 'Fantasy']"
abridgetoofar,1977,A Bridge Too Far,62999,7.4,1,2983,0075784,89397,/m/0m9p3,A Bridge Too Far,1977,50750000.0,176.0,['English Language'],"['United States of America', 'United Kingdom']","['Indie', 'War film', 'Period piece', 'Drama', 'Film adaptation', 'The Netherlands in World War II', 'Action', 'Combat Films']"
abronxtale,1993,A Bronx Tale,166955,7.8,1,11052,0106489,591309,/m/02t4w7,A Bronx Tale,1993-09-14,,121.0,"['Italian Language', 'English Language']",['United States of America'],"['Crime Fiction', 'Gangster Film', 'Indie', 'Period piece', 'Drama', 'Coming of age']"
absenceofmalice,1981,Absence of Malice,15528,6.9,3,9049,0081974,164411,/m/015wsj,Absence of Malice,1981-12-18,40716963.0,116.0,"['English Language', 'Spanish Language']",['United States of America'],"['Legal drama', 'Mystery', 'Crime Fiction', 'Drama', 'Courtroom Drama']"
absentia,2011,Absentia,20521,5.8,3,3782,1610996,33403400,/m/0h96c_c,Absentia,2011-03-03,,91.0,['American English'],['United States of America'],"['Drama', 'Horror', 'Mystery']"
abucketofblood,1959,A Bucket of Blood,8331,6.7,2,4065,0052655,4333681,/m/0bxnsk,A Bucket of Blood,1959-10-21,,66.0,['English Language'],['United States of America'],"['Black comedy', 'B-movie', 'Satire', 'Horror', 'Comedy film']"
acanterburytale,1944,A Canterbury Tale,6648,7.3,3,6515,0036695,167303,/m/016c0l,A Canterbury Tale,1944,,125.0,['English Language'],['United Kingdom'],"['Buddy film', 'Road movie', 'Comedy-drama', 'Black-and-white', 'Mystery', 'Period piece', 'Drama', 'Comedy', 'War film']"
accattone,1961,Accattone,10373,7.6,3,7831,0054599,3073220,/m/08pl90,Accattone,1961-11-22,,116.0,['Italian Language'],['Italy'],"['Drama', 'World cinema', 'Black-and-white']"
accepted,2006,Accepted,141607,6.4,1,6194,0384793,5444611,/m/0dm5f8,Accepted,2006-08-18,38505009.0,90.0,['English Language'],['United States of America'],"['Comedy', 'Teen']"
accident,1967,Accident,5094,6.8,1,9124,0061328,434542,/m/0281z4,Accident,1967-02-06,,105.0,['English Language'],['United Kingdom'],"['Crime Fiction', 'Romantic drama', 'Romance Film', 'Drama']"
aceinthehole,1951,Ace in the Hole,39953,8.1,2,871,0043338,1638112,/m/05jp8w,Ace in the Hole,1951,1300000.0,111.0,['English Language'],['United States of America'],"['Drama', 'Black-and-white', 'Film noir']"
aceventura:petdetective,1994,Ace Ventura: Pet Detective,332214,6.9,2,441,0109040,336808,/m/01xlh5,Ace Ventura: Pet Detective,1994-02-04,107217396.0,85.0,['English Language'],['United States of America'],"['Thriller', 'Detective', 'Mystery', 'Gross-out film', 'Comedy', 'Gross out', 'Action', 'Slapstick']"
aceventura:whennaturecalls,1995,Ace Ventura: When Nature Calls,237632,6.4,0,5710,0112281,537416,/m/02mvb2,Ace Ventura: When Nature Calls,1995-11-10,212385533.0,100.0,['English Language'],['United States of America'],"['Detective fiction', 'Adventure', 'Detective', 'Mystery', 'Gross-out film', 'Comedy', 'Gross out', 'Action', 'Slapstick']"
acharliebrownchristmas,1965,A Charlie Brown Christmas,44793,8.3,3,11175,0059026,113226,/m/0swhj,A Charlie Brown Christmas,1965-12-09,,25.0,['English Language'],['United States of America'],"[""Children's/Family"", 'Animation', 'Short Film', 'Christmas movie', 'Drama', 'Family Film']"
acharliebrownthanksgiving,1973,A Charlie Brown Thanksgiving,12548,7.7,2,6078,0068359,1293054,/m/04qn24,A Charlie Brown Thanksgiving,1973-11-20,,30.0,['English Language'],['United States of America'],"['Short Film', ""Children's/Family""]"
achorusline,1985,A Chorus Line,11935,6.2,3,3719,0088915,5883086,/m/0fbphd,A Chorus Line,1985-12-10,14202899.0,118.0,['English Language'],['United States of America'],"['Backstage Musical', 'Musical', 'Drama', 'Musical Drama']"
achristmasstory,1983,A Christmas Story,169889,7.9,1,5473,0085334,932424,/m/03r6_w,A Christmas Story,1983-11-18,19294144.0,93.0,['English Language'],"['United States of America', 'Canada']","['Christmas movie', 'Family Film', 'Comedy']"
achumpatoxford,1940,A Chump at Oxford,4405,7.2,0,1975,0032339,3177319,/m/08xb76,A Chump at Oxford,1940-02-16,,63.0,['English Language'],['United States of America'],"['Buddy film', 'Comedy of manners', 'Black-and-white', 'Satire', 'Comedy', 'Slapstick']"
acinderellastory,2004,A Cinderella Story,95754,5.8999999999999995,3,1740,0356470,466340,/m/02cxj_,A Cinderella Story,2004-07-16,70067909.0,95.0,"['Czech Language', 'English Language', 'German Language']","['United States of America', 'Canada']","['Romantic comedy', ""Children's"", 'Comedy', 'Romance Film', 'Family Film', 'Teen']"
aclockworkorange,1971,A Clockwork Orange,895461,8.2,1,1039,0066921,1659954,/m/05ldxl,A Clockwork Orange,1971-12-19,26589355.0,137.0,['English Language'],"['United States of America', 'United Kingdom']","['Crime Fiction', 'Science Fiction', 'Cult', 'Satire', 'Drama', 'Dystopia', 'Black comedy', 'Juvenile Delinquency Film', 'New Hollywood']"
acountessfromhongkong,1967,A Countess from Hong Kong,7117,6.0,3,9078,0061523,2974264,/m/08h1y4,A Countess from Hong Kong,1967,,108.0,['English Language'],"['United States of America', 'United Kingdom']","['Romantic comedy', 'Romance Film', 'Comedy']"
acrime,2006,A Crime,2153,5.6,1,2900,0489010,16192018,/m/03wcgnc,A Crime,2006-10-11,,103.0,['English Language'],"['United States of America', 'France']","['Thriller', 'World cinema', 'Psychological thriller', 'Mystery', 'Drama', 'Crime Thriller']"
acrosstheuniverse,2007,Across the Universe,115149,7.3,3,4028,0445922,4399897,/m/0c05g3,Across the Universe,2007-09-10,29367143.0,133.0,['English Language'],['United States of America'],"['LGBT', 'Jukebox musical', 'Period piece', 'Musical', 'Drama', 'Romantic drama', 'Romance Film']"
actionjackson,1988,Action Jackson,12870,5.6,1,2663,0094612,2069002,/m/06jy_j,Action Jackson,1988-02-12,20256975.0,95.0,['English Language'],['United States of America'],"['Thriller', 'Crime Fiction', 'Indie', 'Chase Movie', 'Action/Adventure', 'Drama', 'Comedy', 'Action']"
actofvalor,2012,Act of Valor,72251,6.4,0,4825,1591479,33474657,/m/0gwrh1q,Act of Valor,2012-02-17,80419713.0,110.0,['English Language'],['United States of America'],"['Thriller', 'Action', 'Adventure']"
actofviolence,1948,Act of Violence,5923,7.4,2,4944,0041088,2309020,/m/072rvk,Act of Violence,1948-12-21,,82.0,['English Language'],['United States of America'],"['Thriller', 'Crime Fiction', 'Drama', 'Black-and-white', 'Film noir']"
adam,2009,Adam,36042,7.100208090561011,2,4119,1185836,22427855,/m/05zkcsk,Adam,2009-01-20,2549605.0,99.0,['English Language'],['United States of America'],"['Indie', 'Comedy-drama', 'Drama', 'Comedy', 'Romantic drama', 'Romance Film']"
adangerousmethod,2011,A Dangerous Method,109384,6.400000000000001,3,3491,1571222,28075240,/m/0cmc26r,A Dangerous Method,2011-09-02,27462041.0,93.0,['English Language'],"['Switzerland', 'Canada', 'France', 'United Kingdom', 'Germany', 'Ireland']","['Thriller', 'Biographical film', 'Drama', 'Historical drama']"
adayattheraces,1937,A Day at the Races,14770,7.5,2,2382,0028772,606121,/m/02vvj1,A Day at the Races,1937-06-11,,111.0,['English Language'],['United States of America'],"['Screwball comedy', 'Comedy of Errors', 'Comedy', 'Black-and-white', 'Slapstick']"
addamsfamilyvalues,1993,Addams Family Values,113815,6.8,3,1436,0106220,876872,/m/03kxj2,Addams Family Values,1993-11-19,48919043.0,94.0,['English Language'],['United States of America'],"['Black comedy', 'Family Film', 'Fantasy', 'Comedy', 'Domestic Comedy']"
adieuphilippine,1962,Adieu Philippine,1132,7.0,3,10928,0143088,26378018,/m/0bbyx34,Adieu Philippine,1962,,106.0,['French Language'],"['France', 'Italy']",['Drama']
adirtyshame,2004,A Dirty Shame,13732,5.1,3,750,0365125,1330877,/m/04tb5k,A Dirty Shame,2004-09-12,1914166.0,88.0,['English Language'],['United States of America'],"['Parody', 'Sex comedy', 'Cult', 'Gross-out film', 'Comedy', 'Black comedy', 'Gross out']"
adulthood,2008,Adulthood,13241,6.6,2,2832,1126596,13875263,/m/03clxwx,Adulthood,2008-06-17,,99.0,['English Language'],['United Kingdom'],"['Drama', 'Crime Drama']"
adventureland,2009,Adventureland,170926,6.800000000000001,3,311,1091722,13514560,/m/03c7twt,Adventureland,2009-01-19,17164377.0,107.0,['English Language'],['United States of America'],"['Romantic comedy', 'Comedy-drama', 'Period piece', 'Coming of age', 'Comedy', 'Drama', 'Romance Film', 'Teen']"
adventuresinbabysitting,1987,Adventures in Babysitting,50513,6.9,3,7507,0092513,576198,/m/02rqd_,Adventures in Babysitting,1987-06-19,34368475.0,99.0,['English Language'],['United States of America'],"['Thriller', 'Adventure', 'Comedy', 'Family Film', 'Action', 'Teen']"
afaceinthecrowd,1957,A Face in the Crowd,17673,8.2,1,4552,0050371,2019404,/m/06fjkp,A Face in the Crowd,1957-05-28,,109.0,['English Language'],['United States of America'],"['Media Satire', 'Drama']"
afewgoodmen,1992,A Few Good Men,294619,7.700000000000001,1,451,0104257,20691749,/m/051zy_b,A Few Good Men,1992-12-11,243240178.0,138.0,['English Language'],['United States of America'],"['Crime Fiction', 'Thriller', 'Mystery', 'Drama', 'Legal drama', 'Courtroom Drama']"
afishcalledwanda,1988,A Fish Called Wanda,156483,7.5,3,1911,0095159,308898,/m/01sxly,A Fish Called Wanda,1988-07-07,62493712.0,109.0,"['Italian Language', 'Russian Language', 'English Language']","['United States of America', 'United Kingdom']","['Crime Fiction', 'Heist', 'Crime Comedy', 'Caper story', 'Screwball comedy', 'Comedy']"
afloridaenchantment,1914,A Florida Enchantment,307,5.8,2,4457,0003973,1498916,/m/05641f,A Florida Enchantment,1914,,63.0,['English Language'],['United States of America'],"['LGBT', 'Silent film', 'Indie', 'Black-and-white', 'Comedy']"
after.life,2009,After.Life,41742,5.9,1,6311,0838247,19992131,/m/02pxhgv,After.Life,2009-11-07,3260454.0,104.0,['English Language'],['United States of America'],"['Thriller', 'Mystery', 'Drama', 'Horror', 'Psychological thriller']"
afterearth,2013,After Earth,211251,4.8,1,4191,1815862,34429259,/m/0hhgh70,After Earth,2013-06-07,,,['English Language'],"['United States of America', 'Costa Rica']","['Science Fiction', 'Action', 'Adventure']"
afterhours,1985,After Hours,85069,7.596238347694225,2,3872,0088680,613037,/m/02wk_5,After Hours,1985-09-13,,97.0,['English Language'],['United States of America'],"['LGBT', 'Black comedy', 'Thriller', 'Indie', 'Comedy']"
aftersex,2007,After Sex,8682,5.5,3,1344,0465375,4728208,/m/04j08s9,After Sex,2007,,77.0,['English Language'],['United States of America'],"['Romantic comedy', 'Romance Film', 'Indie', 'Comedy']"
